segment_type,segment_value,country,solution,rank,path,frequency,won,lost,ongoing,win_rate,avg_touches
Country_x_Solution,UK_x_MRS,UK,MRS,1,Email,142,0,0,142,0.0,1.0
Country_x_Solution,UK_x_MRS,UK,MRS,2,1st Appointment,73,0,0,73,0.0,1.0
Country_x_Solution,UK_x_MRS,UK,MRS,3,Follow Up,59,0,0,59,0.0,1.0
Country_x_Solution,UK_x_MRS,UK,MRS,4,Email → Email,47,0,0,47,0.0,2.0
Country_x_Solution,UK_x_MRS,UK,MRS,5,Call,43,0,0,43,0.0,1.0
Country_x_Solution,UK_x_PLS,UK,PLS,1,1st Appointment → 1st Appointment → 1st Appointment → 1st Appointment → 2nd Appointment,1,0,0,1,0.0,36.0
Country_x_Solution,UK_x_PLS,UK,PLS,2,1st Appointment → 1st Appointment → 2nd Appointment → 2nd Appointment → 2nd Appointment,1,0,0,1,0.0,10.0
Country_x_Solution,UK_x_PLS,UK,PLS,3,2nd Appointment → 2nd Appointment → 2nd Appointment → 2nd Appointment → 2nd Appointment,1,0,0,1,0.0,22.0
Country_x_Solution,UK_x_PLS,UK,PLS,4,Call,1,0,0,1,0.0,1.0
Country_x_Solution,UK_x_PLS,UK,PLS,5,Email → Email,1,0,0,1,0.0,2.0
Country_x_Solution,US_x_Digital,US,Digital,1,Meeting → Meeting → Meeting → Meeting → Meeting,27,24,2,1,88.88888888888889,88.88888888888889
Country_x_Solution,US_x_Digital,US,Digital,2,Meeting → Meeting → Email → Email → Email,9,9,0,0,100.0,60.22222222222222
Country_x_Solution,US_x_Digital,US,Digital,3,Email → Email → Email → Email → Email,9,7,1,1,77.77777777777779,63.111111111111114
Country_x_Solution,US_x_Digital,US,Digital,4,Email → Email → Inbound Call → Inbound Call → Inbound Call,6,0,0,6,0.0,17.666666666666668
Country_x_Solution,US_x_Digital,US,Digital,5,Inbound Call → Inbound Call → Inbound Call → Inbound Call,5,0,0,5,0.0,4.0
Country_x_Solution,US_x_MRS,US,MRS,1,Inbound Call,525,0,0,525,0.0,1.0
Country_x_Solution,US_x_MRS,US,MRS,2,Inbound Call → Inbound Call,385,0,0,385,0.0,2.0
Country_x_Solution,US_x_MRS,US,MRS,3,Meeting → Meeting → Meeting → Meeting → Meeting,375,184,101,90,49.06666666666666,41.312
Country_x_Solution,US_x_MRS,US,MRS,4,Email → Email → Email → Email → Email,316,94,80,142,29.746835443037973,22.85759493670886
Country_x_Solution,US_x_MRS,US,MRS,5,Email,280,1,21,258,0.35714285714285715,1.0
Country_x_Solution,US_x_PLS,US,PLS,1,Inbound Call,5,0,0,5,0.0,1.0
Country_x_Solution,US_x_PLS,US,PLS,2,Email → Email,4,0,0,4,0.0,2.0
Country_x_Solution,US_x_PLS,US,PLS,3,Email → Email → Email → Email → Email,3,1,0,2,33.33333333333333,22.333333333333332
Country_x_Solution,US_x_PLS,US,PLS,4,Email,3,0,0,3,0.0,1.0
Country_x_Solution,US_x_PLS,US,PLS,5,Inbound Call → Email,3,0,0,3,0.0,2.0
Country_x_Solution,[NULL]_x_MRS,[NULL],MRS,1,Email,30,0,0,30,0.0,1.0
Country_x_Solution,[NULL]_x_MRS,[NULL],MRS,2,Email → Email,7,0,0,7,0.0,2.0
Country_x_Solution,[NULL]_x_MRS,[NULL],MRS,3,1st Appointment,2,0,0,2,0.0,1.0
Country_x_Solution,[NULL]_x_MRS,[NULL],MRS,4,1st Appointment → 2nd Appointment → Email,1,0,0,1,0.0,3.0
Country_x_Solution,[NULL]_x_MRS,[NULL],MRS,5,1st Appointment → 2nd Appointment,1,0,0,1,0.0,2.0
